Ticker,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,FILINGMANAGER_NAME,date
024835100,345969,6038904,SH,,NORGES BANK,2022-02-10
AEO,38469,1519315,SH,,NORGES BANK,2022-02-10
025676206,34065,875247,SH,,NORGES BANK,2022-02-10
AXP,993440,6072373,SH,,NORGES BANK,2022-02-10
AFG,87484,637084,SH,,NORGES BANK,2022-02-10
AMH,701205,16079001,SH,,NORGES BANK,2022-02-10
AIG,506692,8911229,SH,,NORGES BANK,2022-02-10
02772A109,29631,156910,SH,,NORGES BANK,2022-02-10
AMT,1148150,3925300,SH,,NORGES BANK,2022-02-10
AVD,805,49100,SH,,NORGES BANK,2022-02-10
03044L105,6209,1027969,SH,,NORGES BANK,2022-02-10
AMWD,10383,159256,SH,,NORGES BANK,2022-02-10
AWK,309240,1637404,SH,,NORGES BANK,2022-02-10
COLD,263910,8048497,SH,,NORGES BANK,2022-02-10
AMP,337466,1118696,SH,,NORGES BANK,2022-02-10
ABCB,31150,627011,SH,,NORGES BANK,2022-02-10
COR,188449,1418085,SH,,NORGES BANK,2022-02-10
AME,336090,2285707,SH,,NORGES BANK,2022-02-10
AMGN,1138930,5062588,SH,,NORGES BANK,2022-02-10
FOLD,32759,2836238,SH,,NORGES BANK,2022-02-10
AMKR,18412,742724,SH,,NORGES BANK,2022-02-10
AMN,58469,477958,SH,,NORGES BANK,2022-02-10
AMRX,3261,680709,SH,,NORGES BANK,2022-02-10
AMPH,270,11600,SH,,NORGES BANK,2022-02-10
APH,466657,5335659,SH,,NORGES BANK,2022-02-10
03236M200,4025,743977,SH,,NORGES BANK,2022-02-10
ADI,1092374,6214791,SH,,NORGES BANK,2022-02-10
03272L108,60287,1314878,SH,,NORGES BANK,2022-02-10
ANGI,230,25023,SH,,NORGES BANK,2022-02-10
ANIK,2032,56700,SH,,NORGES BANK,2022-02-10
035710409,106931,13674055,SH,,NORGES BANK,2022-02-10
ANSS,255302,636473,SH,,NORGES BANK,2022-02-10
AM,32569,3364569,SH,,NORGES BANK,2022-02-10
ELV,1128341,2434182,SH,,NORGES BANK,2022-02-10
G0403H108,269546,896811,SH,,NORGES BANK,2022-02-10
03750L109,75144,1374507,SH,,NORGES BANK,2022-02-10
AIV,11013,1426526,SH,,NORGES BANK,2022-02-10
APLS,30267,640167,SH,,NORGES BANK,2022-02-10
APG,40145,1557810,SH,,NORGES BANK,2022-02-10
APOG,11631,241559,SH,,NORGES BANK,2022-02-10
BOKF,30435,288507,SH,,NORGES BANK,2022-02-10
BKNG,1013778,422543,SH,,NORGES BANK,2022-02-10
G65163100,1659,227272,SH,,NORGES BANK,2022-02-10
JBT,46559,303199,SH,,NORGES BANK,2022-02-10
JNJ,4172929,24393111,SH,,NORGES BANK,2022-02-10
G51502105,552369,6793366,SH,,NORGES BANK,2022-02-10
JOUT,1731,18480,SH,,NORGES BANK,2022-02-10
JLL,135235,502098,SH,,NORGES BANK,2022-02-10
YY,25749,566792,SH,,NORGES BANK,2022-02-10
JPM,4092843,25846816,SH,,NORGES BANK,2022-02-10
JNPR,117032,3277293,SH,,NORGES BANK,2022-02-10
48214T305,27559,2561255,SH,,NORGES BANK,2022-02-10
KALU,12808,136342,SH,,NORGES BANK,2022-02-10
M6240T109,222,33595,SH,,NORGES BANK,2022-02-10
483548103,11107,257400,SH,,NORGES BANK,2022-02-10
BZ,15696,449993,SH,,NORGES BANK,2022-02-10
KAR,13235,847323,SH,,NORGES BANK,2022-02-10
48576A100,27885,212862,SH,,NORGES BANK,2022-02-10
KBH,35670,797441,SH,,NORGES BANK,2022-02-10
KBR,61275,1286754,SH,,NORGES BANK,2022-02-10
BEKE,38450,1911033,SH,,NORGES BANK,2022-02-10
KRNY,7765,586002,SH,,NORGES BANK,2022-02-10
K,82762,1284727,SH,,NORGES BANK,2022-02-10
KELYA,5176,308634,SH,,NORGES BANK,2022-02-10
KMPR,29747,505991,SH,,NORGES BANK,2022-02-10
KMT,14544,405018,SH,,NORGES BANK,2022-02-10
KW,25778,1079486,SH,,NORGES BANK,2022-02-10
Y46717107,315,6190,SH,,NORGES BANK,2022-02-10
KDP,196944,5343041,SH,,NORGES BANK,2022-02-10
KEY,181634,7852737,SH,,NORGES BANK,2022-02-10
KEYS,233400,1130212,SH,,NORGES BANK,2022-02-10
KZR,8218,491500,SH,,NORGES BANK,2022-02-10
KRC,601929,9057009,SH,,NORGES BANK,2022-02-10
KMB,473552,3313403,SH,,NORGES BANK,2022-02-10
KIM,147366,5978345,SH,,NORGES BANK,2022-02-10
KMI,243159,15331587,SH,,NORGES BANK,2022-02-10
KC,1433,90991,SH,,NORGES BANK,2022-02-10
KGC,37753,6499115,SH,,NORGES BANK,2022-02-10
KNSL,29434,123731,SH,,NORGES BANK,2022-02-10
KEX,35210,592565,SH,,NORGES BANK,2022-02-10
49741E100,116000,2765939,SH,,NORGES BANK,2022-02-10
KRG,47142,2164467,SH,,NORGES BANK,2022-02-10
KKR,389956,5234304,SH,,NORGES BANK,2022-02-10
NFLX,2612150,4335950,SH,,NORGES BANK,2022-02-10
NTGR,7271,248922,SH,,NORGES BANK,2022-02-10
NTCT,26407,798289,SH,,NORGES BANK,2022-02-10
NBIX,65446,768416,SH,,NORGES BANK,2022-02-10
STIM,1174,263200,SH,,NORGES BANK,2022-02-10
NPCE,585,58000,SH,,NORGES BANK,2022-02-10
NVRO,28917,356692,SH,,NORGES BANK,2022-02-10
NFE,3427,141974,SH,,NORGES BANK,2022-02-10
NJR,31692,771841,SH,,NORGES BANK,2022-02-10
647581107,32068,15270620,SH,,NORGES BANK,2022-02-10
64829B100,58129,528637,SH,,NORGES BANK,2022-02-10
RITM,45373,4236473,SH,,NORGES BANK,2022-02-10
649445103,39945,3271514,SH,,NORGES BANK,2022-02-10
NYT,65345,1352907,SH,,NORGES BANK,2022-02-10
NWL,79496,3639931,SH,,NORGES BANK,2022-02-10
NMRK,29928,1600425,SH,,NORGES BANK,2022-02-10
NEU,19882,58011,SH,,NORGES BANK,2022-02-10
NEM,489639,7893565,SH,,NORGES BANK,2022-02-10
NWSA,89330,4004019,SH,,NORGES BANK,2022-02-10
NWS,29062,1291628,SH,,NORGES BANK,2022-02-10
L67359106,98,12486,SH,,NORGES BANK,2022-02-10
NXST,71938,476472,SH,,NORGES BANK,2022-02-10
NXTC,311,51900,SH,,NORGES BANK,2022-02-10
NEE,2724059,29178009,SH,,NORGES BANK,2022-02-10
65343C102,12601,708300,SH,,NORGES BANK,2022-02-10
G6518L108,85279,4157920,SH,,NORGES BANK,2022-02-10
848637104,104265,901011,SH,,NORGES BANK,2022-02-10
L8681T102,235825,1007671,SH,,NORGES BANK,2022-02-10
SWTX,35563,573781,SH,,NORGES BANK,2022-02-10
SPT,13435,148139,SH,,NORGES BANK,2022-02-10
SFM,27885,939515,SH,,NORGES BANK,2022-02-10
SPSC,44945,315738,SH,,NORGES BANK,2022-02-10
784635104,25735,431220,SH,,NORGES BANK,2022-02-10
78469X107,33117,382946,SH,,NORGES BANK,2022-02-10
SSNC,187333,2285101,SH,,NORGES BANK,2022-02-10
SSRM,44132,2493182,SH,,NORGES BANK,2022-02-10
JOE,16768,322155,SH,,NORGES BANK,2022-02-10
STAA,37178,407212,SH,,NORGES BANK,2022-02-10
STAG,76280,1590501,SH,,NORGES BANK,2022-02-10
STGW,3045,351200,SH,,NORGES BANK,2022-02-10
SXI,13791,124622,SH,,NORGES BANK,2022-02-10
SWK,293104,1553938,SH,,NORGES BANK,2022-02-10
STN,67716,1204327,SH,,NORGES BANK,2022-02-10
SBUX,1189240,10167051,SH,,NORGES BANK,2022-02-10
STWD,66429,2733695,SH,,NORGES BANK,2022-02-10
855707105,7171,138725,SH,,NORGES BANK,2022-02-10
STT,259564,2791014,SH,,NORGES BANK,2022-02-10
STLD,199835,3219503,SH,,NORGES BANK,2022-02-10
SCS,9103,776711,SH,,NORGES BANK,2022-02-10
N82405106,607517,32017909,SH,,NORGES BANK,2022-02-10
SCL,23227,186878,SH,,NORGES BANK,2022-02-10
STEP,4029,96922,SH,,NORGES BANK,2022-02-10
STXS,281,45300,SH,,NORGES BANK,2022-02-10
SRCL,46372,777536,SH,,NORGES BANK,2022-02-10
G8473T100,198152,814066,SH,,NORGES BANK,2022-02-10
85917A100,47650,1847630,SH,,NORGES BANK,2022-02-10
T9224W109,42342,1886043,SH,,NORGES BANK,2022-02-10
SF,66826,948963,SH,,NORGES BANK,2022-02-10
SFIX,13360,706109,SH,,NORGES BANK,2022-02-10
SYBT,10448,163558,SH,,NORGES BANK,2022-02-10
G85158106,814,48273,SH,,NORGES BANK,2022-02-10
SRI,302,15300,SH,,NORGES BANK,2022-02-10
862121100,77780,2261055,SH,,NORGES BANK,2022-02-10
BAH,108899,1284338,SH,,NORGES BANK,2022-02-10
BWA,105595,2342903,SH,,NORGES BANK,2022-02-10
SAM,18179,35991,SH,,NORGES BANK,2022-02-10
BXP,1501665,13037554,SH,,NORGES BANK,2022-02-10
BSX,563108,13255827,SH,,NORGES BANK,2022-02-10
101388106,21453,379908,SH,,NORGES BANK,2022-02-10
BOX,47321,1806819,SH,,NORGES BANK,2022-02-10
BYD,50883,776006,SH,,NORGES BANK,2022-02-10
BP,21547,809138,SH,,NORGES BANK,2022-02-10
BRC,27501,510226,SH,,NORGES BANK,2022-02-10
BDN,23525,1752993,SH,,NORGES BANK,2022-02-10
BAK,866,41063,SH,,NORGES BANK,2022-02-10
BRFS,3858,943370,SH,,NORGES BANK,2022-02-10
BBIO,15037,901495,SH,,NORGES BANK,2022-02-10
BFAM,63655,505679,SH,,NORGES BANK,2022-02-10
BCOV,1559,152500,SH,,NORGES BANK,2022-02-10
BHF,41153,794461,SH,,NORGES BANK,2022-02-10
BSIG,33509,1308928,SH,,NORGES BANK,2022-02-10
BRSP,8445,823069,SH,,NORGES BANK,2022-02-10
EAT,22115,604408,SH,,NORGES BANK,2022-02-10
BCO,21338,325417,SH,,NORGES BANK,2022-02-10
BMY,1413962,22677818,SH,,NORGES BANK,2022-02-10
BRX,75388,2966852,SH,,NORGES BANK,2022-02-10
AVGO,2403800,3612510,SH,,NORGES BANK,2022-02-10
BR,193556,1058727,SH,,NORGES BANK,2022-02-10
BNL,35066,1412824,SH,,NORGES BANK,2022-02-10
BKD,8503,1647938,SH,,NORGES BANK,2022-02-10
112585104,810807,13421506,SH,,NORGES BANK,2022-02-10
G16169107,6075,96802,SH,,NORGES BANK,2022-02-10
BIPC,47818,700369,SH,,NORGES BANK,2022-02-10
BEPC,45298,1229938,SH,,NORGES BANK,2022-02-10
BRKL,11724,724150,SH,,NORGES BANK,2022-02-10
BRO,150631,2143296,SH,,NORGES BANK,2022-02-10
BF/A,7279,107370,SH,,NORGES BANK,2022-02-10
