submission_cik,1987Q1,2010Q1,2010Q2,2011Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,1987Q1_percent_change,2010Q1_percent_change,2010Q2_percent_change,2011Q3_percent_change,2015Q4_percent_change,2016Q1_percent_change,2016Q2_percent_change,2016Q3_percent_change,2016Q4_percent_change,2017Q1_percent_change,2017Q2_percent_change,2017Q3_percent_change,2017Q4_percent_change,2018Q1_percent_change,2018Q2_percent_change,2018Q3_percent_change,2018Q4_percent_change,2019Q1_percent_change,2019Q2_percent_change,2019Q3_percent_change,2019Q4_percent_change,2020Q1_percent_change,2020Q2_percent_change,2020Q3_percent_change,2020Q4_percent_change,2021Q1_percent_change,2021Q2_percent_change,2021Q3_percent_change,2021Q4_percent_change,2022Q1_percent_change,2022Q2_percent_change,2022Q3_percent_change,2022Q4_percent_change,2023Q1_percent_change,2023Q2_percent_change,2023Q3_percent_change,2023Q4_percent_change,2024Q1_percent_change,2024Q2_percent_change,2024Q3_percent_change
1748766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,5,5,80,86,96,85,85,116,0,0,0,0,1558,0,0,1171,1317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,-76.19047619047619,0.0,1500.0,7.499999999999996,11.627906976744185,-11.458333333333337,0.0,36.47058823529412,-100.0,0.0,0.0,0.0,inf,-100.0,0.0,inf,12.467976088812982
1748814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532,1466,2587,1517,1571,2222,1651,1583,1721,1745,2165,48076,47305,49408,51540,51321,56861,56247,66978,75684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-4.308093994778073,76.46657571623466,-41.360649400850406,3.5596572181938013,41.43857415658816,-25.697569756975703,-4.1187159297395475,8.717624763108024,1.394538059267858,24.068767908309454,2120.6004618937645,-1.6037107912471926,4.44561885635768,4.315090673575139,-0.42491268917346225,10.794801348375916,-1.0798262429433159,19.07835084537841,12.99829794858014
1748861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,1401,470,527,567,802,896,1026,1102,1659,42287,40686,40397,41995,41695,42492,41065,28286,29155,29363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.21459227467810482,-66.45253390435404,12.127659574468087,7.590132827324481,41.446208112874785,11.72069825436408,14.50892857142858,7.407407407407418,50.54446460980036,2448.9451476793247,-3.7860335327642103,-0.7103180455193425,3.9557392875708697,-0.7143707584236214,1.9115001798776898,-3.3582792054975052,-31.11895774990868,3.072191189987983,0.7134282284342319
1748930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,117,119,119,240,169,166,3320,3425,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.8620689655172376,1.7094017094017033,0.0,101.68067226890756,-29.58333333333333,-1.7751479289940808,1900.0,3.1626506024096335,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
1748965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31526,32326,32326,33526,32526,29526,28026,28026,28026,27026,24026,480520,480520,410000,410000,410000,411577,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,2.537588022584525,0.0,3.712182144403875,-2.982759649227462,-9.223390518354545,-5.080268238162978,0.0,0.0,-3.5681153214871864,-11.100421816029005,1900.0,0.0,-14.675767918088734,0.0,0.0,0.3846341463414671,-100.0,0.0,0.0
1749283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0,10801,17519,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-100.0,0.0,0.0,0.0,0.0,inf,62.19794463475603,-100.0,0.0,0.0
1749333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,918,898,699,624,12251,6427,55952,101218,89265,78257,118636,134268,135178,100772,111242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,2.914798206278024,-2.178649237472763,-22.160356347438746,-10.729613733905573,1863.3012820512822,-47.53897641008897,770.5772522172086,80.90148698884758,-11.809164377877456,-12.331820982467933,51.59794012037262,13.176438854985006,0.6777489796526259,-25.45236650934324,10.389790814908896
1749744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3553,3470,3674,3799,3782,3824,4053,4231,0,5491,5507,112958,123356,138245,134528,139084,142065,148523,179887,185419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-2.3360540388404183,5.878962536023047,3.402286336418081,-0.4474861805738306,1.1105235325224783,5.988493723849375,4.391808536886255,-100.0,inf,0.2913859042068756,1951.1712366079537,9.205191310044448,12.069943902201752,-2.6887048356179277,3.3866555661274944,2.1433090794052534,4.545806497026006,21.11726803256062,3.075263915680404
1749768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30498,27898,25398,31398,31398,36151,36151,35751,38113,38087,76174,937138,1368009,1390513,1269234,2182846,1043957,1035931,1401086,1484644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-8.525149190110826,-8.961215857767579,23.623907394283016,0.0,15.137906873049234,0.0,-1.1064700838151142,6.60680820116919,-0.06821819326738865,100.0,1130.2596686533461,45.977326711754294,1.6450184172764892,-8.721888971911806,71.98136828985042,-52.17450062899536,-0.7688056117253872,35.248969284633816,5.963802364737059
1749798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2787,0,0,0,0,0,0,0,0,0,1384,48781,49069,50118,50261,93766,46218,45237,31352,31158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,3424.638728323699,0.5903938008650966,2.1378059467280774,0.28532662915519147,86.55816637154057,-50.709212294435076,-2.12254965597819,-30.69390101023498,-0.6187803010972215
